Dataset Name,Bait source (initial),Data source,Data source link,Treatment regimen,Data availability,Cancer type,Standardized Tissue,Treatment type,Multi-omics,Sample size,Criteria for R,Criteria for NR,Number of R,Number of NR,Drug targets,NCT ID,Pubmed link,Marker data ,Tissue collection,Prior treatment status,Inclusion criteria,Treatment regimen details,Therapy type,Code availability (BHK Lab),Processed data availability,Link to ORCESTRA,Usage status in meta-analysis,Additional notes
GSE41998,SELECT|CTRDB,NCI GEO,GSE41998,Doxorubicin|Cyclophosphamide|Ixabepilone|Paclitaxel,Public,Breast cancer,Breast,Chemotherapy,Microarray,279,CR|PR,SD|PR,201,78,TUBB3|TOP2A|TUBB1|BCL2,NCT00455533,,"HER2, ER, and progesterone receptor (PR) for a small subset only with incomplete pathologic information before study entry. ?III-Tubulin, MDR1 IHC. Probesets representing the 2 single-gene models (TACC3 and CAPG), the 20- and 26-gene models, and the ?-tubulin genes are present on the HG U133A 2.0 GeneChips.",Biopsy - Four core needle tumor tissue biopsies (4 passes) were obtained before neoadjuvant therapy with AC. Three biopsy specimens were combined at the study site and immediately placed in RNAlater solution for subsequent gene expression analysis. The remaining biopsy specimen was formalin-fixed and paraffin-embedded (FFPE) at the study site and then underwent IHC analysis for selected protein antigens.,No,"untreated women with histologically confirmed primary invasive breast adenocarcinoma (T2–3, N0–3, M0, tumor size ? 2.0 cm), regardless of hormone receptor or HER2 expression status","Patients received sequential neoadjuvant therapy starting with 4 cycles of AC (doxorubicin 60 mg/m2 intravenously and cyclophosphamide 600 mg/m2 intravenously) given every 3 weeks, followed by 1:1 randomization to either ixabepilone (40 mg/m2 3-hour infusion) every 3 weeks for 4 cycles, or paclitaxel (80 mg/m2 1-hour infusion) weekly for 12 weeks. All patients underwent definitive breast surgery 4 to 6 weeks after the last dose of ixabepilone or paclitaxel, consisting of either a lumpectomy with axillary dissection or modified radical mastectomy.",Sequential ,Yes,Yes,NA,,More detail: https://www.pmgenomics.ca/bhklabwiki/doku.php?id=lab:data_sets:patient_drug_response_and_gene_expression
GSE14671,CTRDB,NCI GEO,GSE14671,Imatinib,Public,Leukemia,Myeloid,Targeted therapy,Microarray,59,Responder,NonResponder,41,18,,,"https://pubmed.ncbi.nlm.nih.gov/19837975,27281222",CD34+,NA,Most of the patients had failed prior interferon-?–based therapy and were treated on phase 2 studies of imatinib before its regulatory approval,"Eligibility criteria were a diagnosis of CML in chronic phase (based on the criteria of the IRIS trial), availability of bone marrow mononuclear cells (MNCs) stored immediately before initiating imatinib therapy",Imatinib therapy,Single,Yes,Yes,NA,,"CTRDB ID: CTR_Microarray_49
The training set was retrospectively selected from CML patients treated at Oregon Health & Science University between 1998 and 2004. (two groups of patients (36+23) https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2808155/) "
GSE23554,CTRDB,NCI GEO,GSE23554,Cisplatin,Public,Ovarian cancer,Ovary/Fallopian Tube,Chemotherapy,Microarray,28,CR (complete response),"IR (incomplete response) (including PD, SD and PR)",18,10,,,https://pubmed.ncbi.nlm.nih.gov/21849418,CA-125 was used to classify responses only in the absence of a measurable lesion (e.g. patients subject to optimal cytoreductive surgery),Twenty-eight (28) advanced-stage serous epithelial ovarian cancers were resected at the time of primary surgery from patients who would receive platinum-based therapy.,NA,"289 patients with advanced-stage (III/IV), serous epithelial OVCA and underwent primary cytoreductive surgery followed by primary therapy with a platinum-based regimen (+/? taxane or cyclophosphamide). surgically confirmed advanced stage (III/IV) disease, primary surgical cytoreductive surgery prior to chemotherapy, primary chemotherapy with a platinum-based regimen (+/- taxane or cyclophosphamide).",Detailed treatment in supp data 2 (all recieved platinum),Single,Yes,Yes,NA,,"CTRDB ID: CTR_Microarray_30
 raw CEL files can be downloaded from GEO - GSE23554_RAW.tar"
GSE14764,CTRDB,NCI GEO,GSE14764,Carboplatin+Paclitaxel,Public,Ovarian cancer,Ovary/Fallopian Tube,Chemotherapy,Microarray,64,residual tumor: 0|No residual tumor; ,"residual tumor: 1, residual tumor < 0.5 cm; residual tumor < 1cm; residual tumor < 2cm; residual tumor > 2cm",42,22,,,https://pubmed.ncbi.nlm.nih.gov/19294737,NA,"RNA from 80 frozen ovarian cancer samples was analysed with oligonucleotide microarrays. Tissue samples were dissected in the operating room, snap-frozen in liquid nitrogen, and stored at ? 80 ?C.",Adjuvant carboplatin–paclitaxel,Inclusion criteria were primary ovarian or peritoneal carcinoma as well as adjuvant carboplatin–paclitaxel chemotherapy.,Adjuvant carboplatin–paclitaxel chemotherapy,Combination,Yes,Yes,NA,,"CTRDB ID: CTR_Microarray_34
Combination of 2. Check for batch effects - The study was conducted within the framework of the tumour bank ovarian cancer (TOC) network.TOC network was initiated in the year 2000 and extended in January 2004 to a multi-centric setting."
GSE20194,SELECT|CTRDB,NCI GEO,GSE20194,Paclitaxel|5FU|Doxorubicin,Public,Breast cancer,Breast,Chemotherapy,Microarray,278,pCR,RD,46,165,TYMS|TOP2A|TUBB1|BCL2,,,Estrogen receptor and HER2 status,Gene expression data from 230 stage I-III breast cancers were generated from fine needle aspiration specimens of newly diagnosed breast cancers before any therapy.,No; Gene-expression results were generated from fine-needle aspiration specimens of newly diagnosed breast cancers before any therapy. RNA extraction and gene-expression profiling were performed in multiple batches over time.,NA,"Patients received 6 months of preoperative (neoadjuvant)  chemotherapy including paclitaxel, 5-fluorouracil, cyclophosphamide and doxorubicin followed by surgical resection of the cancer.",Combination,Yes,Yes,NA,,More detail: https://www.pmgenomics.ca/bhklabwiki/doku.php?id=lab:data_sets:patient_drug_response_and_gene_expression
GSE50948,CTRDB,NCI GEO,GSE50948,AT (Doxorubicin+Paclitaxel)+CMF (Cyclophosphamide+Fluorouracil+Methotrexate)+Trastuzumab | AT (Doxorubicin+Paclitaxel)+CMF (Cyclophosphamide+Fluorouracil+Methotrexate),Public,Breast cancer,Breast,Targeted therapy|Chemotherapy,Microarray,156,pCR,RD,53,103,,,https://pubmed.ncbi.nlm.nih.gov/24443618,HER2 IHC or FISH,"core biopsies were prospectively collected before treatment, and 195 samples remained for RNA extraction and subsequent gene expression profiling analyses. In addition to tumor cells, information about infiltrating inflammatory cells, stroma cells, and normal epithelial cells from the pretreatment samples was recorded by a pathologist at a central laboratory.",NA,NA,"women with HER2+ locally advanced or inflammatory breast cancer were treated with a neoadjuvant chemotherapy regimen consisting of doxorubicin (60 mg/m2) and paclitaxel [150 mg/m2, every 3 weeks (q3w)] × 3, followed by paclitaxel (175 mg/m2, q3w) × 4, followed by cyclophosphamide [600 mg/m2, every 4 weeks (q4w)], methotrexate (40 mg/m2, q4w), and fluorouracil (600 mg/m2 q4w) on days 1 and 8 × 3, and either received 1 year of treatment with trastuzumab (arm 3; given as neoadjuvant and adjuvant treatment; n = 117) or no trastuzumab (arm 2; n = 118). HR-positive patients also received adjuvant endocrine therapy for 5 years. A parallel cohort of 99 patients with HER2-negative disease (arm 1) was included and treated with the same chemotherapy regimen (without trastuzumab).",Combination,Yes,Yes,NA,,CTRDB ID: CTR_Microarray_28. More detail: https://www.pmgenomics.ca/bhklabwiki/doku.php?id=lab:data_sets:patient_drug_response_and_gene_expression
GSE33072,BATTLE1 trial,NCI GEO,GSE33072,Sorafenib|Erlotinib,Public,Non-small cell lung cancer (NSCLC),Lung,Targeted therapy,Microarray,131,PFS,PFS,,,, NCT00409968,https://pubmed.ncbi.nlm.nih.gov/23091115/,EGFR|KRAS|,Core-needle biopsies were a requirement for enrollment in the trial,Yes,See Inclusion Criteria in  NCT00409968,,Single,Yes,Yes,NA,,Not combination; each patient group received only one drug
GSE25066,        Hatzis C et al. ,NCI GEO,GSE25066,Taxane+Anthracycline,Public,Breast cancer,Breast,Chemotherapy,Microarray,508,pCR,RD,99,389,,,"https://pubmed.ncbi.nlm.nih.gov/21558518,24337596",ER|ESR1|HER2|PR,Fine needle aspiration (FNA) or core biopsy (CBX) prior to any systemic therapy,No,Patients were those with newly diagnosed ERBB2 (HER2 or HER2/neu)-negative breast cancer.Patients with any nuclear immunostaining for ER in the tumor cells were considered as eligible,Sequential taxane and anthracycline-based regimens then endocrine therapy (if hormone receptor-positive),Sequential,Yes,Yes,NA,,Data is composed of the SubSeries GSE25055 and GSE25065. More detail: https://www.pmgenomics.ca/bhklabwiki/doku.php?id=lab:data_sets:patient_drug_response_and_gene_expression
GSE15622,CTRDB,NCI GEO,GSE15622,Paclitaxel,Public,Ovarian cancer,Ovary/Fallopian Tube,Chemotherapy,Microarray,20,sensitive,resistant. Annotation: combined RECIST/GCIG CA125 criteria,13,7,,,"https://pubmed.ncbi.nlm.nih.gov/18068629,25560085",Not found,Tissue biopsy was obtained either under radiological control (core needle biopsy) or via laparoscopic surgery (punch biopsy). Patients with histologicaly confirmed epithelial ovarian cancer were randomized to receive either three cycles of carboplatin (AUC 7) or paclitaxel (175 mg/m2).,Yes. Patients will generally have received at least 2 lines of prior chemotherapy,"Confirmed relapsed ovarian, fallopian tube or primary peritoneal cancer AND relapse within the platinum-resistant (progression must not be based on Cancer Antigen 125 (CA125) alone) time-frame, i.e. have progressed within 6 months of platinum therapy. Patients need not have received prior taxane; if patients have received prior taxane, the interval since treatment must be known. Patients will generally have received at least 2 lines of prior chemotherapy, but may enter if they have relapsed within 6 months of first line therapy. Patients may have received prior liposomal doxorubicin, although this is NOT a requirement. The treatment immediately prior to study entry need not be platinum-based. Measurable or evaluable disease (if not measurable by Response Evaluation Criteria In Solid Tumours (RECIST) v1.1 criteria, patients must be evaluable by Gynecologic Cancer InterGroup (GCIG) CA125 criteria). Eastern Cooperative Oncology Group Performance Status (ECOG PS) 0-2 Adequate haematological and biochemical function.","All patients will receive cycles of weekly paclitaxel chemotherapy. One cycle will consist of weekly paclitaxel (80 mg/m2) for 6 weeks followed by 2 weeks rest. If there is evidence of on-going response after 4 cycles, 3 further cycles of saracatinib/placebo plus weekly paclitaxel will be given, unless there is dose-limiting toxicity or the patient requests to discontinue treatment. If best response is stable disease after 4 cycles, treatment should be discontinued but may continue at the discretion of the Investigator. (https://clinicaltrials.gov/ct2/show/NCT01196741)",Sequential,Yes,Yes,NA,,"CTRDB ID: CTR_Microarray_71
The purpose of this study is to investigate whether the addition of the Src inhibitor saracatinib (AZD0530) to weekly paclitaxel improves efficacy, compared with paclitaxel plus placebo, in patients with relapsed platinum-resistant ovarian cancer. The trial will also determine toxicity and ascertain whether the combination of paclitaxel plus saracatinib should proceed to a phase III trial."
GSE14615,CTRDB,NCI GEO,GSE14615,Doxorubicin+Mercaptopurine+Methotrexate+Prednisone+Vincristine,,Leukemia,Lymphoid,Chemotherapy,Microarray,50,failure (relapse) and Complete Continous Remission,no response (induction failure),44,6,,,"https://pubmed.ncbi.nlm.nih.gov/17495134,20007543,21878675,24224072",Not found,NA,No; No prior therapy except for emergency radiation or fewer than 48 hours of emergency prednisone,"Doxorubicin, Vincristine (max 2 mg), Prednisone (max 60 mg), Methotrexate , 6-Mercaptopurine, Age-adjusted IT meds (see table 1 : https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1975833/)",,Combination,No,No,NA,,"CTRDB ID: CTR_Microarray_83
Expression profiles were obtained from patients with newly diagnosed T-ALL."
E-MEXP-433,CTRDB,EBI ArrayExpress,E-MEXP-433,Imatinib,,Leukemia,Myeloid,Targeted therapy,Microarray,45,no cytogenetic response to imatinib,cytogenetic response to imatinib,30,15,,,https://pubmed.ncbi.nlm.nih.gov/16728981,,,,,,,No,No,NA,,CTRDB ID: CTR_Microarray_14
GSE42822,CTRDB,NCI GEO,GSE42822,FEC (Cyclophosphamide+Epirubicin+Fluorouracil)|TX (Capecitabine+Docetaxel),,Breast cancer,Breast,Chemotherapy,Microarray,66,pCR,RD,25,41,,,https://pubmed.ncbi.nlm.nih.gov/23158478,HER2 IHC or FISH,Pre-treatment fine-needle aspiration (FNA) specimens; for RNA extraction and gene expression profiling,NA,NA,"women with stage II/III breast cancer. Patients with HER2-negative cancer received FEC 100, which consisted of 5-fluorouracil (Adrucil [5-FU], 500 mg/m2) + epirubicin (Ellence, 100 mg/m2) + cyclophosphamide (Cytoxan, 500 mg/m2) IV on Day 1 every 21 days (x 4 cycles, 12 weeks total) followed by wTX, Taxotere (35 mg/m2) weekly Days 1 and 8 every 21 days (x 4 cycles, 12 weeks total), (FEX/TX group). Patients with HER2-positive tumors received FEC 75, which consisted of 5-fluorouracil (Adrucil [5-FU], 500 mg/m2) + epirubicin (Ellence, 75 mg/m2) + cyclophosphamide (Cytoxan, 500 mg/m2) IV on Day 1 every 21 days with trastuzumab (Herceptin) 4 mg/kg IVx1 as initial loading dose on Day 1 followed by 2 mg/kg IV weekly x12 (x4 cycles, 12 weeks total), followed by wTX, Taxotere (35 mg/m2) weekly Days 1 and 8 every 21 days (x 4 cycles, 12 weeks total) and Herceptin 2 mg/kg weekly x12, (FEC/TX plus H group).",Combination,No,No,NA,,"CTRDB ID: CTR_Microarray_107
This is a validation study of cell Line Derived Multi-Gene Predictor"
GSE22093,CTRDB,NCI GEO,GSE22093,FEC (Cyclophosphamide+Epirubicin+Fluorouracil),,Breast cancer,Breast,Chemotherapy,Microarray,54,pCR,RD,21,33,,,"https://pubmed.ncbi.nlm.nih.gov/21191116,23185353",HER2-normal lymph node-negative,"For all of these data sets, the gene expression profiles of patients were measured from fine-needle aspiration specimens before chemotherapy treatment.",No,,"Patients from preoperative datasets recived chemotherapy regimen with paclitaxel and 5-fluorouracil, doxorubicin, and cyclophosphamide",Combination,No,No,NA,,"CTRDB ID: CTR_Microarray_60. More detail: https://www.pmgenomics.ca/bhklabwiki/doku.php?id=lab:data_sets:patient_drug_response_and_gene_expression
Gene set analysis was performed on gene expression data from three cohorts of 234, 170, and 175 patients with HER2-normal lymph node-negative breast cancer who received no systemic adjuvant therapy to identify gene sets associated prognosis and three additional cohorts of 198, 85, and 62 patients with HER2-normal stage I-III breast cancer who received preoperative chemotherapy to identify gene sets associated with pathological complete response to therapy. The patient’s pathologic complete response (pCR) was tested after treatment to demonstrate the chemotherapy efficacy."
GSE32646,CTRDB,NCI GEO,GSE32646,TFEC (Cyclophosphamide+Epirubicin+Fluorouracil+Paclitaxel),,Breast cancer,Breast,Chemotherapy,Microarray,44,pCR (Annotation: Pathological complete response was defined as no evidence of residual invasive cancer in both breast and axilla.),nCR,19,25,,,https://pubmed.ncbi.nlm.nih.gov/22320227,Glutathione S-transferase P1 by IHC; HER2 FISH; Ki-67; GSTP1 promoter methylation,"Prior to NAC, every patient underwent vacuum-assisted core biopsy of tumors. The tumor samples obtained were then subjected to histological examination and DNA and RNA extraction.","Yes; In this study, primary breast cancer patients (n = 123, stage II–III) treated with neoadjuvant (NAC) P-FEC were analyzed.",,"Primary breast cancer patients (n = 123, T1-4b N0-1 M0) who were consecutively recruited for the present study had been treated with NAC consisting of paclitaxel (80 mg/m2) weekly for 12 cycles followed by 5-FU (500 mg/m2), epirubicin (75 mg/m2) and cyclophosphamide (500 mg/m2) every 3 weeks for four cycles (paclitaxel followed by 5-fluorouracil/epirubicin/cyclophosphamide [P-FEC]) at Osaka University Hospital between 2004 and 2010. NAC was indicated for stage IIA–IIIB breast cancer patients.",Sequential,No,No,NA,,CTRDB ID: CTR_Microarray_72. More detail: https://www.pmgenomics.ca/bhklabwiki/doku.php?id=lab:data_sets:patient_drug_response_and_gene_expression
GSE140494,CTRDB,NCI GEO,GSE140494,FEC (Cyclophosphamide+Epirubicin+Fluorouracil)+Docetaxel,,Breast cancer,Breast,Chemotherapy,Microarray,28, pCR/pPR (pathological complete and partial responders),pNC (non-responders),19,9,,,https://pubmed.ncbi.nlm.nih.gov/33542080,"Clinical variables: ER status, HER2 status",Pre-treatment core needle biopsies were obtained from primary tumors and stored at -80°C until analysis.,NA,NA,"Patients received three 3-week cycles of docetaxel (100 mg/m2) followed by three 3-week cycles of 5-fluorouracil (500 mg/m2), epirubicin (100 mg/m2), and cyclophosphamide (500 mg/m2) (FEC)",Sequential,No,No,NA,,CTRDB ID: CTR_Microarray_62
GSE103424,CTRDB,NCI GEO,GSE103424,Cytarabine+Idarubicin,,Leukemia,Myeloid,Chemotherapy,RNAseq,36,CR (complete remission),Non-CR (non-complete remission),18,18,,,https://pubmed.ncbi.nlm.nih.gov/31356696,,NA,NA, Only AML patients who completed their first “7+3” or“7+3” like regimen and had qualified RNA extracted from the bone marrow at initial diagnosis were enrolled. Patients who were <20 years of age and who died early during the “7+3” regimen were excluded. ,"“7+3"" or “7+3"" like regimens (Wikipedia : The name ""7+3"" comes from the duration of chemotherapy course, which consists of 7 days of standard-dose cytarabine, and 3 days of an anthracycline antibiotic or an anthracenedione, most often daunorubicin (can be substituted for doxorubicin or idarubicin or mitoxantrone).",Sequential ? ,No,No,NA,,"CTRDB ID: CTR_RNAseq_273
RNA-seq platform - Illumina NextSeq 500 (Homo sapiens)
Medical records of 373 consecutive patients diagnosed with de novo AML from 2004 to
2017 were retrospectively reviewed. 52 patients were divided into the CR group (n= 35) and non-CR group (n= 17) according to their treatment response after the first “7+3"" or “7+3"" like regimens."
GSE20271,CTRDB,NCI GEO,GSE20271,TFAC (Cyclophosphamide+Doxorubicin+Fluorouracil+Paclitaxel),,Breast cancer,Breast,Chemotherapy,Microarray,79, pCR (pCR was defined as the complete absence of invasive cancer cells in the breast and lymph nodes)," RD (Patients with clinical or radiological disease progression were considered as having residual disease (RD) in the final analysis. After completion of neoadjuvant chemotherapy, all patients underwent modified radical mastectomy or lumpectomy and sentinel lymph node biopsy or axillary node dissection as determined by the surgeon)",17,62,,,"https://pubmed.ncbi.nlm.nih.gov/20829329,23185353","Estrogen, progesterone 
and HER-2 receptor status ",All patients underwent a pretreatment fine-needle aspiration biopsy of the tumor for gene expression profiling and treatment response prediction.,,"Patients with clinical stage I–III breast cancer were eligible. Histological diagnosis of invasive cancer and estrogen, progesterone and HER-2 receptor status were determined from a diagnostic core needle or incisional biopsy before therapy. All patients had to agree to a separate, pre-treatment research fine needle aspiration (FNA) of the cancer for gene expression analysis.","Two hundred and seventy-three patients were randomly  assigned to receive either weekly paclitaxel × 12 followed by FAC × 4 (T/FAC, n = 138),  or FAC × 6 (n = 135) neoadjuvant chemotherapy",Combination - Sequential,No,No,NA,,CTRDB ID: CTR_Microarray_106. More detail: https://www.pmgenomics.ca/bhklabwiki/doku.php?id=lab:data_sets:patient_drug_response_and_gene_expression
GSE66305,CTRDB,NCI GEO,GSE66305,TFEC (Cyclophosphamide+Epirubicin+Fluorouracil+Paclitaxel)+Trastuzumab+Lapatinib,,Breast cancer,Breast,Targeted therapy|Chemotherapy,Microarray,34,pCR (pCR was defined as the absence of invasive breast cancer in both the breast and the axilla.),RD,13,21,,,https://pubmed.ncbi.nlm.nih.gov/26245675,"HER2 IHC - Diagnosis of breast cancer stage II to IIIA, HER2 positivity according to the local laboratory (immunohistochemistry [IHC] 3+ or fluorescence in situ hybridization [FISH] amplification), and no prior therapy for breast cancer. The translational biomarker program included the central reassessment of HER2 status, protein biomarker evaluation (p95-HER2, PTEN, phosphorylated AKT [pAKT], Ki67, terminal deoxynucleotidyl transferase dUTP nick end labeling [TUNEL]), the assessment of gene expression profile and copy number (CN) variations, and the study of somatic mutations of PIK3CA. ",Genomic DNA and total RNA were extracted from pretreatment frozen core biopsies of the primary tumor.,,,"CHER-LOB is a phase II randomized multicenter trial in which 121 patients with primary HER2-positive breast cancer were randomized to receive preoperative chemotherapy with weekly paclitaxel for 12 weeks followed by 4 weekly courses over 3 weeks of the FEC regimen (fluorouracil, epirubicin, and cyclophosphamide) plus either trastuzumab (arm A), lapatinib (arm B), or the combination of trastuzumab and lapatinib (arm C). ",Combination - Sequential,No,No,NA,,CTRDB ID: CTR_Microarray_55
GSE23988,CTRDB,NCI GEO,GSE23988,FEC (Cyclophosphamide+Epirubicin+Fluorouracil)+Capecitabine+Docetaxel,,Breast cancer,Breast,Chemotherapy,Microarray,29,pCR,RD,13,16,,,https://pubmed.ncbi.nlm.nih.gov/21191116,Check Table 1 for a set of clinical markers,,,Prognostic : patients with stage I–II lymph node–negative breast cancers who received no systemic adjuvant therapy. neoadjuvant: patients with stage I–III breast cancer,neoadjuvant : see table 1,Combination - Sequential,No,No,NA,,"CTRDB ID: CTR_Microarray_96. More detail: https://www.pmgenomics.ca/bhklabwiki/doku.php?id=lab:data_sets:patient_drug_response_and_gene_expression
Prognostic and neoadjuvant datasets included"
